id,machine_counts,job_counts,w_min,w_max,p_min,p_max,processing_time_range,weighted_processing_time_range
0,3,12,1,9,10,41,31,359
1,3,11,1,6,20,42,22,232
2,4,5,1,9,10,29,19,251
3,1,20,1,6,31,50,19,269
4,1,19,1,4,19,46,27,165
5,3,10,1,3,24,49,25,123
6,4,9,1,10,5,32,27,315
7,1,15,1,2,40,41,1,42
8,3,8,1,4,9,18,9,63
9,3,11,1,6,30,39,9,204
10,4,14,1,2,30,32,2,34
11,3,19,1,5,15,38,23,175
12,4,5,1,2,8,10,2,12
13,2,20,1,3,32,49,17,115
14,3,20,1,2,6,50,44,94
15,1,17,1,10,33,42,9,387
16,2,11,1,9,12,45,33,393
17,3,9,1,10,26,27,1,244
18,4,17,1,6,41,48,7,247
19,4,18,1,10,9,24,15,231
20,2,7,1,2,10,49,39,88
21,1,13,1,6,21,28,7,147
22,1,20,1,3,48,50,2,102
23,4,9,1,7,17,42,25,277
24,2,11,1,3,34,38,4,80
25,3,9,1,10,11,36,25,349
26,4,13,1,5,8,37,29,177
27,4,5,1,4,17,30,13,103
28,4,10,1,4,23,46,23,161
29,3,5,1,4,42,46,4,142
30,1,14,1,6,11,40,29,229
31,3,11,1,9,18,39,21,333
32,2,13,1,10,6,8,2,74
33,1,14,1,4,11,46,35,173
34,3,20,1,9,5,33,28,292
35,3,19,1,9,6,42,36,372
36,2,8,1,6,16,37,21,206
37,1,20,1,5,23,31,8,132
38,1,12,1,5,11,42,31,199
39,1,11,1,8,10,25,15,190
40,1,14,1,6,6,37,31,216
41,1,11,1,3,15,31,16,78
42,4,5,1,10,25,33,8,305
43,3,9,1,4,10,30,20,110
44,2,16,1,6,15,43,28,243
45,3,5,1,8,23,31,8,225
46,1,20,1,10,21,24,3,219
47,4,11,1,9,9,15,6,126
48,2,9,1,6,19,22,3,113
49,1,15,1,3,6,18,12,48
50,1,11,1,5,7,44,37,213
51,3,10,1,5,8,25,17,117
52,4,6,1,5,12,32,20,148
53,3,5,1,7,23,38,15,243
54,1,15,1,7,8,49,41,335
55,1,9,1,8,27,34,7,245
56,1,7,1,2,35,37,2,39
57,3,10,1,9,29,38,9,313
58,4,14,1,7,16,35,19,229
59,4,7,1,5,35,46,11,195
60,4,12,1,6,19,20,1,101
61,1,15,1,7,16,32,16,208
62,4,18,1,7,19,50,31,331
63,3,6,1,6,6,15,9,84
64,1,6,1,3,8,15,7,37
65,1,15,1,8,15,37,22,281
66,2,19,1,5,23,31,8,132
67,3,10,1,8,12,43,31,332
68,3,9,1,10,22,37,15,348
69,4,20,1,7,19,30,11,191
70,3,15,1,9,5,35,30,310
71,2,14,1,5,9,27,18,126
72,3,17,1,9,34,44,10,362
73,3,18,1,4,31,41,10,133
74,4,7,1,7,7,17,10,112
75,1,10,1,5,10,16,6,70
76,1,20,1,6,33,39,6,201
77,4,14,1,7,19,48,29,317
78,3,9,1,5,20,26,6,110
79,3,13,1,10,6,12,6,114
80,3,12,1,5,40,50,10,210
81,4,12,1,9,14,33,19,283
82,2,12,1,10,5,31,26,305
83,4,15,1,7,23,36,13,229
84,2,12,1,2,32,36,4,40
85,4,18,1,4,26,28,2,86
86,3,12,1,6,40,43,3,218
87,1,9,1,5,22,36,14,158
88,4,11,1,2,47,50,3,53
89,3,11,1,10,10,31,21,300
90,1,17,1,9,28,28,0,224
91,1,11,1,5,10,50,40,240
92,1,16,1,10,11,16,5,149
93,4,7,1,7,16,50,34,334
94,1,8,1,3,20,30,10,70
95,2,12,1,4,18,35,17,122
96,3,14,1,10,37,44,7,403
97,4,16,1,10,13,42,29,407
98,3,18,1,5,25,45,20,200
99,4,15,1,7,11,24,13,157
100,4,8,1,10,19,49,30,471
101,1,17,1,5,19,26,7,111
102,2,8,1,2,16,30,14,44
103,3,6,1,3,12,23,11,57
104,3,12,1,10,38,42,4,382
105,3,12,1,5,20,45,25,205
106,1,15,1,6,11,48,37,277
107,2,16,1,2,23,37,14,51
108,1,9,1,8,20,23,3,164
109,2,10,1,7,10,24,14,158
110,2,11,1,8,6,26,20,202
111,4,14,1,9,12,15,3,123
112,1,14,1,7,17,34,17,221
113,1,15,1,10,22,35,13,328
114,1,16,1,2,26,48,22,70
115,3,12,1,4,8,50,42,192
116,1,12,1,8,9,36,27,279
117,1,17,1,9,39,47,8,384
118,3,5,1,9,12,50,38,438
119,3,15,1,2,32,38,6,44
120,4,6,1,7,26,43,17,275
121,1,10,1,6,40,41,1,206
122,4,8,1,3,17,28,11,67
123,2,6,1,8,7,10,3,73
124,2,16,1,7,19,40,21,261
125,3,11,1,10,32,42,10,388
126,3,19,1,3,46,46,0,92
127,2,8,1,10,21,37,16,349
128,3,15,1,7,11,16,5,101
129,2,18,1,3,12,17,5,39
130,2,6,1,6,8,48,40,280
131,3,5,1,7,7,22,15,147
132,1,5,1,5,10,14,4,60
133,1,14,1,7,29,46,17,293
134,1,5,1,6,6,17,11,96
135,4,9,1,3,18,23,5,51
136,2,6,1,3,24,42,18,102
137,1,16,1,5,10,39,29,185
138,3,18,1,6,5,18,13,103
139,1,14,1,10,5,26,21,255
