id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
92,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,7555,97.6875,,,,300
842,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2627,57.23076923076923,,,,300
279,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5383,44.9,,,,300
231,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,321,7.0,323,7.0,0,0.08798408508300781
995,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1480,32.0,,,,300
506,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1825,36.3125,1831,36.3125,0,7.861732244491577
701,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3567,51.625,,,,300
62,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,4465,51.55555555555556,,,,300
289,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1524,30.0,,,,300
626,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3258,65.375,,,,300
965,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5191,79.27777777777777,,,,300
114,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5854,256.125,,,,300
133,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,8411,231.64285714285714,9906,232.78571428571428,0,0.48711705207824707
509,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2539,40.46666666666667,2545,40.46666666666667,0,0.26702189445495605
622,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,544,6.857142857142857,,,,300
468,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1991,45.6,,,,300
66,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,6588,117.0,,,,300
883,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2217,54.23529411764706,2220,54.05882352941177,0,0.38036322593688965
738,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1661,41.8235294117647,1665,41.8235294117647,0,0.4644598960876465
956,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,5678,188.7,5686,188.9,0,0.14621901512145996
110,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1375,29.454545454545453,,,,300
961,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,733,22.25,,,,300
498,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1458,25.083333333333332,,,,300
839,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,non-empty,1,326,5.4,380,5.4,0.0,2.2788949012756348
737,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,5547,81.52631578947368,5607,81.73684210526316,0,0.28885960578918457
96,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,6447,76.92857142857143,,,,300
31,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2137,33.18181818181818,2398,33.09090909090909,0,44.29603695869446
959,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,6382,131.66666666666666,6387,131.72222222222223,0,0.10647201538085938
705,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,6902,92.0,,,,300
991,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3251,43.23076923076923,,,,300
69,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,4453,47.95,4461,47.95,0,4.755302429199219
