id,utility_function,utility_threshold,privacy_threshold,transformation,outcome
0,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
1,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
2,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted
3,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
4,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
5,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,both
9,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
11,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
12,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
13,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
14,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
15,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
16,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
17,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
18,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
19,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
20,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
21,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
22,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
23,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
24,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
25,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
26,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
27,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
28,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
29,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted
30,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
31,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
32,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
33,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
34,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
35,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
36,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,both
37,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
38,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
39,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
40,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
41,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
42,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
43,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
44,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
45,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted
46,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
47,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
48,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
49,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
50,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
51,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
52,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
53,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted
54,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
55,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
56,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
57,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
58,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
59,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
60,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
61,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
62,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
63,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted
64,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,both
65,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
66,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
67,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
68,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
69,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
70,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout
71,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty
