id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
837,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4809,154.78947368421052,,,,300
460,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,7359,135.7,7359,135.7,0,0.13149571418762207
76,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,1954,30.714285714285715,,,,34.5977783203125
28,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2476,33.6,,,,300
903,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2778,43.15384615384615,2780,43.30769230769231,0,6.27457332611084
282,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,5413,49.73684210526316,5399,49.73684210526316,0,2.2005350589752197
191,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2925,93.8125,,,,300
312,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,819,21.714285714285715,,,,28.808016538619995
653,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2208,60.13333333333333,,,,300
419,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,8616,219.11111111111111,,,,300
762,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,11583,99.6842105263158,11586,99.52631578947368,0,13.237814664840698
910,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2500,29.23076923076923,,,,300
784,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1747,24.454545454545453,,,,300
180,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,9112,223.4,9112,223.4,0,0.19753360748291016
161,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3011,55.9375,,,,300
486,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,7019,135.21428571428572,7052,136.35714285714286,0,142.29474878311157
657,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3110,116.23076923076923,,,,300
830,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1590,30.833333333333332,1590,31.416666666666668,0,0.6812591552734375
731,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,516,19.666666666666668,,,,4.213374614715576
165,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,20513,264.2352941176471,,,,300
780,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,12043,171.8,,,,300
264,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1036,21.133333333333333,1036,21.2,0,1.1245818138122559
914,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,12350,266.0,,,,300
553,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,13264,211.75,13314,212.91666666666666,0,48.47467517852783
208,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2189,53.25,,,,300
994,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,546,13.8,,,,15.216171741485596
58,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,204,6.0,204,6.0,0,7.172128915786743
651,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,3470,129.5,3470,129.5,0,0.42589688301086426
770,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2352,59.0,,,,300
195,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,619,9.625,,,,300
166,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,3893,29.5,3899,29.5,0,269.27821350097656
867,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,581,21.125,583,21.125,0,1.0216681957244873
788,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3038,55.357142857142854,,,,300
819,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,472,21.333333333333332,,,,2.962949752807617
609,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1319,27.88235294117647,1319,27.823529411764707,0,0.392744779586792
233,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,488,24.1,490,24.1,0,0.09419512748718262
415,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3473,61.11764705882353,,,,300
868,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,996,13.571428571428571,996,13.571428571428571,0,8.6651029586792
778,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,12391,203.41666666666666,,,,300
131,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,6875,75.3529411764706,6889,75.58823529411765,0,6.441648960113525
24,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1593,44.93333333333333,,,,300
606,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,7921,117.35714285714286,7929,117.42857142857143,0,48.81008553504944
200,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2665,39.857142857142854,,,,300
881,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1022,33.125,1022,33.125,0,0.08742046356201172
204,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,6026,63.166666666666664,,,,300
954,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,11844,133.16666666666666,11900,133.55555555555554,0,0.3566317558288574
735,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,126,1.2,126,1.2,0,0.8574936389923096
882,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,305,8.571428571428571,,,,31.13250207901001
323,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,5689,52.42857142857143,,,,300
169,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1938,11.444444444444445,,,,300
364,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,559,28.0,,,,40.66725492477417
438,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1400,44.45454545454545,1400,44.45454545454545,0,0.613532304763794
918,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,8090,116.72727272727273,,,,300
117,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,501,4.6,,,,1.1719412803649902
810,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1880,31.5,,,,300
684,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2712,24.75,,,,300
190,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1506,60.64705882352941,1506,60.64705882352941,0,0.13648629188537598
348,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,928,14.0,930,14.0,0,71.40579962730408
772,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,4544,174.5,4562,175.0,0,0.043984174728393555
753,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2769,187.91666666666666,,,,300
519,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1817,32.93333333333333,,,,300
674,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2657,97.11111111111111,,,,300
937,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4089,62.25,,,,300
650,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,486,13.8,,,,0.6705234050750732
146,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4417,84.22222222222223,,,,300
347,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,3913,110.53333333333333,3927,111.33333333333333,0,1.6977035999298096
670,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,632,26.545454545454547,,,,300
176,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,3176,39.588235294117645,3176,39.588235294117645,0,3.054304838180542
308,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4018,40.92857142857143,,,,300
499,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,399,5.625,399,5.625,0,1.3719394207000732
142,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,8774,125.92857142857143,,,,300
933,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2001,65.9090909090909,,,,300
680,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,20076,196.2,,,,300
814,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,15783,266.88235294117646,,,,300
757,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1287,21.2,,,,300
820,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,707,66.375,707,66.375,0,0.1099851131439209
47,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2903,101.54545454545455,2905,101.0,0,0.6860864162445068
616,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,12975,267.2,12981,267.26666666666665,0,0.06461548805236816
878,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2708,29.27777777777778,2712,29.27777777777778,0,125.80982899665833
678,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,463,7.5,,,,300
432,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1689,33.0,,,,300
514,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,178,14.0,178,14.0,0,0.03359818458557129
515,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4991,94.84615384615384,,,,300
490,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,671,6.714285714285714,,,,94.67323875427246
223,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2524,25.214285714285715,2528,25.357142857142858,0,4.631844758987427
10,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,3282,65.55555555555556,3286,65.66666666666667,0,34.44733715057373
877,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1067,28.333333333333332,1067,28.333333333333332,0,0.27797985076904297
688,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1742,52.69230769230769,,,,300
227,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,9885,215.57142857142858,,,,300
511,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1444,25.76923076923077,,,,300
223,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2524,25.214285714285715,,,,300
818,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4289,221.6875,,,,300
428,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,8420,82.11111111111111,8420,82.11111111111111,0,0.9868569374084473
304,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,7106,134.33333333333334,,,,300
944,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1755,34.666666666666664,1756,34.666666666666664,0,0.7456111907958984
436,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4066,108.86666666666666,,,,300
427,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,319,4.833333333333333,319,4.833333333333333,0,0.06918764114379883
833,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,1012,38.166666666666664,,,,2.987337350845337
879,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1050,27.944444444444443,,,,300
78,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2268,112.0,2275,114.22222222222223,0,0.05582118034362793
66,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3210,26.76923076923077,,,,300
242,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2626,26.94736842105263,,,,300
146,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,4417,84.22222222222223,4427,84.33333333333333,0,0.13492059707641602
570,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1417,18.055555555555557,,,,300
395,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1958,48.25,,,,300
696,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,628,21.333333333333332,,,,4.1825103759765625
96,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4274,34.0,,,,300
573,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2329,53.69230769230769,2340,53.84615384615385,0,63.46672868728638
149,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1362,55.25,1368,55.625,0,0.031171798706054688
365,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,9574,172.91666666666666,,,,300
244,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1737,29.25,1743,29.55,0,1.9902358055114746
580,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3907,41.94117647058823,,,,300
92,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3389,92.11111111111111,,,,300
453,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1250,30.666666666666668,,,,300
742,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,805,28.555555555555557,805,30.333333333333332,0,5.48062539100647
378,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,3460,67.42105263157895,3462,67.42105263157895,0,1.52174711227417
953,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,490,15.0,,,,3.0400912761688232
584,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,14176,256.92857142857144,,,,300
361,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3191,68.5,,,,300
697,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,3056,61.38461538461539,3068,61.69230769230769,0,136.04523921012878
246,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,620,18.88888888888889,,,,300
91,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2324,23.6,2323,23.55,0,1.9065189361572266
62,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3683,61.35,,,,300
440,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,661,21.545454545454547,661,21.545454545454547,0,0.6440534591674805
595,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,7054,90.17647058823529,7066,90.88235294117646,0,8.1915922164917
574,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,8533,169.7,,,,300
698,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2414,53.05882352941177,2423,53.23529411764706,0,0.08846735954284668
923,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1557,91.46153846153847,1559,91.53846153846153,0,0.04747962951660156
585,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,477,32.57142857142857,,,,25.263962030410767
418,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,993,19.2,991,19.6,0,33.809009075164795
925,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,1583,54.57142857142857,,,,28.772246599197388
715,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2235,47.357142857142854,2237,46.5,0,3.3480639457702637
369,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3826,36.5625,,,,300
123,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,16377,281.125,,,,300
611,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3943,39.76923076923077,,,,300
417,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2006,24.5,1996,24.5,0,0.260162353515625
625,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,1407,34.2,,,,0.47565174102783203
399,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,549,20.625,,,,300
736,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,7011,56.333333333333336,,,,300
320,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1214,61.888888888888886,1214,63.44444444444444,0,0.45184922218322754
875,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1386,42.1578947368421,,,,300
974,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1117,22.625,1118,23.125,0,5.671353816986084
732,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,4719,113.66666666666667,,,,300
845,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,569,25.5,,,,2.5679054260253906
568,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,546,7.714285714285714,,,,50.469645261764526
848,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,723,13.142857142857142,723,14.285714285714286,0,0.6406421661376953
626,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,2715,70.29411764705883,2720,70.17647058823529,0,2.011714458465576
111,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,5017,149.22222222222223,5017,149.22222222222223,0,0.10742545127868652
871,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,8217,231.26666666666668,,,,300
127,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,677,12.875,,,,300
588,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1927,50.2,,,,300
956,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,3607,129.64285714285714,,,,300
847,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,1484,46.81818181818182,1485,46.90909090909091,0,30.149704694747925
213,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,6785,162.1,6785,162.5,0,5.242476463317871
615,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,2307,54.0,,,,300
536,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,811,37.4,,,,0.2873384952545166
881,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,1022,33.125,,,,300
524,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,6604,135.47368421052633,6620,135.68421052631578,0,0.22193264961242676
541,calculate_twct,0.005,0.01,SWAP_ALL,exhausted,,1064,35.0,,,,25.51533603668213
563,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,8537,88.16666666666667,8557,89.27777777777777,0,58.40871810913086
254,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,8715,126.52941176470588,8755,125.3529411764706,0,1.6360893249511719
480,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,837,15.333333333333334,,,,300
265,calculate_twct,0.005,0.01,SWAP_ALL,timeout,,6700,145.1578947368421,,,,300
800,calculate_twct,0.005,0.01,SWAP_ALL,empty,1,12527,313.05263157894734,12576,313.7894736842105,0,2.5457675457000732
