id,machine_counts,job_counts,w_min,w_max,p_min,p_max,processing_time_range,weighted_processing_time_range
0,1,19,1,2,31,41,10,51
1,3,13,1,3,23,46,23,115
2,4,17,1,10,22,28,6,258
3,4,6,1,10,17,39,22,373
4,3,5,1,2,14,28,14,42
5,2,8,1,6,20,41,21,226
6,2,9,1,5,40,50,10,210
7,2,6,1,3,13,22,9,53
8,1,20,1,4,13,42,29,155
9,1,5,1,5,6,35,29,169
10,2,9,1,5,29,50,21,221
11,1,8,1,9,9,26,17,225
12,3,17,1,7,28,35,7,217
13,3,10,1,10,12,25,13,238
14,1,14,1,9,17,41,24,352
15,1,18,1,6,24,49,25,270
16,2,16,1,3,10,19,9,47
17,2,9,1,8,6,31,25,242
18,2,8,1,10,6,43,37,424
19,4,9,1,5,16,48,32,224
20,1,6,1,8,10,45,35,350
21,1,5,1,7,26,48,22,310
22,4,15,1,9,8,10,2,82
23,2,19,1,6,10,40,30,230
24,3,15,1,3,17,30,13,73
25,3,19,1,2,31,46,15,61
26,2,14,1,9,14,34,20,292
27,4,17,1,10,11,17,6,159
28,3,10,1,8,27,29,2,205
29,2,10,1,8,7,44,37,345
30,2,20,1,5,19,49,30,226
31,3,8,1,2,7,16,9,25
32,3,16,1,6,32,39,7,202
33,3,17,1,9,8,46,38,406
34,2,14,1,9,13,18,5,149
35,1,17,1,10,20,40,20,380
36,1,5,1,3,5,41,36,118
37,3,6,1,10,13,36,23,347
38,3,17,1,3,45,48,3,99
39,4,10,1,10,12,21,9,198
40,3,7,1,7,9,20,11,131
41,1,7,1,8,28,45,17,332
42,3,18,1,2,21,47,26,73
43,4,6,1,4,19,22,3,69
44,3,7,1,3,19,45,26,116
45,4,9,1,3,9,30,21,81
46,1,18,1,8,21,22,1,155
47,1,11,1,4,8,32,24,120
48,3,10,1,6,6,46,40,270
49,3,11,1,5,47,50,3,203
50,2,12,1,10,42,50,8,458
51,2,12,1,2,13,23,10,33
52,2,14,1,9,34,36,2,290
53,3,12,1,10,24,27,3,246
54,3,6,1,6,18,42,24,234
55,1,9,1,6,14,37,23,208
56,1,10,1,9,13,18,5,149
57,2,10,1,10,19,34,15,321
58,3,9,1,4,6,6,0,18
59,3,19,1,4,39,44,5,137
60,1,10,1,8,24,27,3,192
61,1,20,1,9,18,33,15,279
62,4,20,1,5,28,34,6,142
63,4,8,1,10,18,28,10,262
64,1,20,1,2,8,45,37,82
65,1,19,1,4,10,32,22,118
66,4,13,1,9,13,47,34,410
67,3,19,1,6,11,45,34,259
68,3,17,1,3,38,48,10,106
69,1,15,1,4,8,29,21,108
70,4,6,1,7,41,49,8,302
71,1,15,1,7,33,42,9,261
72,4,10,1,8,46,46,0,322
73,1,8,1,6,28,42,14,224
74,2,12,1,7,11,48,37,325
75,3,9,1,8,20,37,17,276
76,2,7,1,9,17,33,16,280
77,2,12,1,9,22,34,12,284
78,1,9,1,4,20,50,30,180
79,1,13,1,3,32,37,5,79
80,1,18,1,7,28,38,10,238
81,3,19,1,8,9,14,5,103
82,2,20,1,2,5,44,39,83
83,4,9,1,9,25,39,14,326
84,2,17,1,9,35,35,0,280
85,4,15,1,5,20,29,9,125
86,1,16,1,2,34,42,8,50
87,4,19,1,4,27,37,10,121
88,1,18,1,4,5,29,24,111
89,4,7,1,6,38,42,4,214
90,2,9,1,8,19,30,11,221
91,4,20,1,6,6,22,16,126
92,3,18,1,3,36,38,2,78
93,3,10,1,8,21,46,25,347
94,3,16,1,6,21,31,10,165
95,1,15,1,2,5,47,42,89
96,4,12,1,8,26,45,19,334
97,4,15,1,5,22,42,20,188
98,1,7,1,9,23,28,5,229
99,1,8,1,3,22,48,26,122
100,2,8,1,8,7,11,4,81
101,4,5,1,4,6,50,44,194
102,4,18,1,4,11,44,33,165
103,2,13,1,2,33,50,17,67
104,3,7,1,10,19,30,11,281
105,4,16,1,6,25,40,15,215
106,4,6,1,4,16,40,24,144
107,3,11,1,9,9,35,26,306
108,4,5,1,10,25,41,16,385
109,1,6,1,3,19,30,11,71
110,2,11,1,10,9,30,21,291
111,1,18,1,3,16,19,3,41
112,1,16,1,8,12,39,27,300
113,1,16,1,10,25,28,3,255
114,2,18,1,8,21,34,13,251
115,1,11,1,5,7,11,4,48
116,2,8,1,8,38,44,6,314
117,4,5,1,4,23,45,22,157
118,2,10,1,8,43,48,5,341
119,2,8,1,9,36,50,14,414
120,1,6,1,5,8,44,36,212
121,1,18,1,8,5,49,44,387
122,2,10,1,2,17,32,15,47
123,1,16,1,7,36,40,4,244
124,4,17,1,4,31,47,16,157
125,1,5,1,7,7,43,36,294
126,1,15,1,7,37,45,8,278
127,4,8,1,3,20,36,16,88
128,4,18,1,5,11,17,6,74
129,3,11,1,5,19,41,22,186
130,4,12,1,6,10,32,22,182
131,2,17,1,7,18,22,4,136
132,2,8,1,6,15,41,26,231
133,2,5,1,7,9,22,13,145
134,2,15,1,4,31,40,9,129
135,2,11,1,3,25,35,10,80
136,4,12,1,2,22,23,1,24
137,1,17,1,9,21,25,4,204
138,3,17,1,7,7,13,6,84
139,4,5,1,6,13,24,11,131
140,1,16,1,4,23,44,21,153
141,2,9,1,7,21,50,29,329
142,1,14,1,8,13,31,18,235
143,2,16,1,7,29,42,13,265
144,2,19,1,4,6,14,8,50
145,3,11,1,9,14,50,36,436
146,3,18,1,5,30,40,10,170
147,2,10,1,3,7,17,10,44
148,1,9,1,4,10,40,30,150
149,2,8,1,2,34,46,12,58
150,3,7,1,10,23,25,2,227
151,4,16,1,7,5,46,41,317
152,2,17,1,7,8,25,17,167
153,4,5,1,9,14,32,18,274
154,1,8,1,6,6,33,27,192
155,1,16,1,3,19,26,7,59
156,4,10,1,6,11,38,27,217
157,2,8,1,5,13,14,1,57
158,2,6,1,10,17,27,10,253
159,1,7,1,8,42,43,1,302
160,1,12,1,4,45,47,2,143
161,4,16,1,5,26,47,21,209
162,1,17,1,3,23,24,1,49
