id,machine_counts,job_counts,w_min,w_max,p_min,p_max,processing_time_range,weighted_processing_time_range
0,4,18,0,3,32,33,1,99
1,4,20,0,7,5,27,22,189
2,2,15,0,8,33,49,16,392
3,2,14,0,7,19,45,26,315
4,1,15,0,2,20,28,8,56
5,3,11,0,7,19,21,2,147
6,4,16,0,3,18,21,3,63
7,4,12,0,5,36,50,14,250
8,3,19,0,4,6,32,26,128
9,1,17,0,1,6,10,4,10
10,2,8,0,6,17,21,4,126
11,3,9,0,1,5,50,45,50
12,2,15,0,4,9,48,39,192
13,3,15,0,9,6,46,40,414
14,4,15,0,9,11,25,14,225
15,3,9,0,3,35,41,6,123
16,1,19,0,8,13,35,22,280
17,3,9,0,4,12,13,1,52
18,3,5,0,7,40,49,9,343
19,4,5,0,5,10,28,18,140
20,1,15,0,6,14,49,35,294
21,1,18,0,5,8,28,20,140
22,1,13,0,4,20,27,7,108
23,3,16,0,4,19,50,31,200
24,2,13,0,7,26,36,10,252
25,3,20,0,9,25,29,4,261
26,2,15,0,9,5,39,34,351
27,1,10,0,4,5,20,15,80
28,1,9,0,8,21,48,27,384
29,1,7,0,3,10,49,39,147
30,1,10,0,7,5,6,1,42
31,4,5,0,6,22,42,20,252
32,1,18,0,7,40,49,9,343
33,1,7,0,5,33,39,6,195
34,4,9,0,4,5,5,0,20
35,3,11,0,4,15,25,10,100
36,1,15,0,2,24,29,5,58
37,4,7,0,1,6,48,42,48
38,2,18,0,8,34,34,0,272
39,3,8,0,2,22,39,17,78
40,2,7,0,5,15,19,4,95
41,4,10,0,7,25,42,17,294
42,4,10,0,5,7,15,8,75
43,4,14,0,8,29,50,21,400
44,4,19,0,7,8,15,7,105
45,2,11,0,2,16,21,5,42
46,4,20,0,2,32,37,5,74
47,3,13,0,6,20,24,4,144
48,3,18,0,9,5,19,14,171
49,2,9,0,5,38,49,11,245
50,4,15,0,8,7,38,31,304
51,2,15,0,4,25,35,10,140
52,4,6,0,5,14,19,5,95
53,4,11,0,8,5,20,15,160
54,1,10,0,3,13,50,37,150
55,1,10,0,2,10,14,4,28
56,1,6,0,6,9,46,37,276
57,3,6,0,6,25,32,7,192
58,1,19,0,7,15,35,20,245
59,2,20,0,1,24,33,9,33
60,1,17,0,3,33,42,9,126
61,2,14,0,7,20,38,18,266
62,1,14,0,4,18,34,16,136
63,2,10,0,1,16,26,10,26
64,1,18,0,9,16,20,4,180
65,1,18,0,6,19,39,20,234
66,1,12,0,2,20,33,13,66
67,4,18,0,6,11,24,13,144
68,2,6,0,2,35,41,6,82
69,4,9,0,1,10,32,22,32
70,4,8,0,1,5,25,20,25
71,3,11,0,3,22,50,28,150
72,3,19,0,4,19,49,30,196
73,1,14,0,8,30,50,20,400
74,2,16,0,7,9,34,25,238
75,4,15,0,9,15,49,34,441
76,4,9,0,2,21,29,8,58
77,3,10,0,8,37,44,7,352
78,2,13,0,6,41,42,1,252
79,3,16,0,9,9,21,12,189
80,1,6,0,6,15,20,5,120
81,3,9,0,1,11,38,27,38
82,4,14,0,8,25,49,24,392
83,2,19,0,8,7,16,9,128
84,1,10,0,9,13,16,3,144
85,1,20,0,7,12,19,7,133
86,1,5,0,8,11,49,38,392
87,3,11,0,9,25,26,1,234
88,4,17,0,4,7,27,20,108
89,3,7,0,1,27,29,2,29
90,1,19,0,5,28,38,10,190
91,4,7,0,1,6,50,44,50
92,2,18,0,5,45,47,2,235
93,4,5,0,8,32,39,7,312
94,2,18,0,4,40,41,1,164
95,4,5,0,7,22,36,14,252
96,3,16,0,3,13,13,0,39
97,3,9,0,7,27,37,10,259
98,1,6,0,8,39,48,9,384
99,2,6,0,4,14,29,15,116
100,1,15,0,6,21,23,2,138
101,4,16,0,5,46,47,1,235
102,1,20,0,3,37,42,5,126
103,1,15,0,9,6,40,34,360
104,3,8,0,4,17,22,5,88
105,3,20,0,9,6,20,14,180
106,4,14,0,1,16,20,4,20
107,1,5,0,5,46,48,2,240
108,4,19,0,1,22,35,13,35
109,3,6,0,8,16,44,28,352
110,4,16,0,9,18,24,6,216
111,4,18,0,2,33,41,8,82
112,1,16,0,8,28,30,2,240
113,2,17,0,2,6,13,7,26
114,3,11,0,2,19,30,11,60
115,1,18,0,9,49,50,1,450
116,4,8,0,8,29,43,14,344
117,2,19,0,2,10,20,10,40
118,2,9,0,1,30,42,12,42
119,2,10,0,5,10,46,36,230
120,1,8,0,5,20,26,6,130
121,3,7,0,5,41,44,3,220
122,3,18,0,6,32,37,5,222
123,4,7,0,3,39,40,1,120
124,3,17,0,6,30,37,7,222
125,1,10,0,2,41,50,9,100
126,1,19,0,2,18,42,24,84
127,2,10,0,9,46,49,3,441
128,2,13,0,1,15,20,5,20
129,3,15,0,6,6,35,29,210
130,2,19,0,8,17,23,6,184
131,2,17,0,7,14,19,5,133
132,4,14,0,4,10,47,37,188
133,1,13,0,8,10,49,39,392
134,3,16,0,1,9,36,27,36
135,2,16,0,4,30,42,12,168
136,1,11,0,6,9,24,15,144
137,3,18,0,6,45,46,1,276
138,2,13,0,4,5,20,15,80
139,3,20,0,9,26,34,8,306
140,4,18,0,8,34,42,8,336
141,3,10,0,8,33,34,1,272
142,1,16,0,7,35,37,2,259
143,4,11,0,7,7,18,11,126
144,3,12,0,4,12,33,21,132
145,2,15,0,1,6,7,1,7
146,4,6,0,9,9,45,36,405
147,2,11,0,8,20,49,29,392
148,1,5,0,3,20,27,7,81
149,3,10,0,5,8,50,42,250
150,4,9,0,2,23,45,22,90
151,1,11,0,5,5,38,33,190
152,1,7,0,2,27,42,15,84
153,3,20,0,5,26,32,6,160
154,4,14,0,5,41,43,2,215
155,2,14,0,6,8,44,36,264
156,3,13,0,4,37,39,2,156
157,2,9,0,7,32,35,3,245
158,1,12,0,2,25,27,2,54
159,2,9,0,3,17,34,17,102
160,4,8,0,8,23,26,3,208
161,2,11,0,6,13,38,25,228
162,3,13,0,6,5,39,34,234
163,1,9,0,9,18,29,11,261
164,1,15,0,5,43,50,7,250
165,4,6,0,1,6,28,22,28
166,2,19,0,8,14,35,21,280
167,1,5,0,2,20,31,11,62
168,4,13,0,3,33,42,9,126
169,3,8,0,1,6,50,44,50
170,2,17,0,9,7,33,26,297
171,2,11,0,2,19,41,22,82
172,3,16,0,6,50,50,0,300
173,2,16,0,4,9,11,2,44
174,4,7,0,2,16,37,21,74
175,1,10,0,4,26,26,0,104
176,3,14,0,6,16,23,7,138
177,2,14,0,4,42,44,2,176
178,2,9,0,8,17,45,28,360
179,2,12,0,4,18,35,17,140
180,2,15,0,3,45,46,1,138
181,1,20,0,9,43,45,2,405
182,4,19,0,9,7,17,10,153
183,3,7,0,7,21,41,20,287
184,4,15,0,2,9,31,22,62
185,1,10,0,4,25,36,11,144
186,2,20,0,6,11,12,1,72
187,2,17,0,3,7,8,1,24
188,3,9,0,7,29,35,6,245
189,2,7,0,3,8,29,21,87
190,3,9,0,7,45,48,3,336
191,3,17,0,6,21,24,3,144
192,4,9,0,5,16,42,26,210
