id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_cmax,original_avgw,perturbed_cmax,perturbed_avgw,privacy_loss,time_found
346,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,175,73.23529411764706,194,73.41176470588235,0,225.95788669586182
471,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,64,23.214285714285715,75,23.142857142857142,0,214.67859268188477
90,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,630,314,,,,300
995,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,430,203.72727272727272,,,,300
279,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,470,230.25,,,,300
293,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,56,17.666666666666668,56,17.666666666666668,0,0.06212592124938965
842,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,283,124.27777777777777,,,,300
912,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,102,31.642857142857142,102,31.571428571428573,0,219.34506630897522
114,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,93,34.27272727272727,,,,300
773,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,53,16.583333333333332,55,16.583333333333332,0,14.721784591674805
349,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,150,54.266666666666666,150,54.266666666666666,0,14.512430191040039
965,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,140,59.94117647058823,,,,300
60,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,641,313.29411764705884,,,,300
191,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,135,50.88235294117647,135,50.8235294117647,0,231.41999626159668
626,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,36,9,,,,300
703,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,exhausted,,210,87.33333333333333,,,,8.064084529876709
64,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,331,158.88888888888889,,,,300
961,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,73,28.3,,,,300
497,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,282,150.83333333333334,283,151.16666666666666,0,191.68088150024414
110,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,89,28.25,,,,300
542,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,207,110.73684210526316,207,110.63157894736842,0,233.7370171546936
178,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,155,63.55555555555556,176,63.55555555555556,0,195.29848098754883
285,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,exhausted,,21,4.5,,,,215.20645475387573
622,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,112,28.1,,,,300
468,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,316,169,,,,300
991,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,143,56.38461538461539,,,,300
795,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,478,276.88235294117646,482,277.52941176470586,0,210.13885688781738
94,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,365,160.77777777777777,,,,300
498,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,258,96.63636363636364,258,97.0909090909091,0,19.070786952972412
31,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,62,3.8,62,3.8,0,0.2696244716644287
640,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,232,91,234,91.125,0,218.91559624671936
498,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,258,96.63636363636364,,,,300
460,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,78,27.727272727272727,,,,300
876,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,282,121.5,282,121.5,0,239.41082620620728
222,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty,1,187,69.45454545454545,187,69.36363636363636,0,189.1377375125885
352,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout,,93,23,,,,300
