id,utility_function,utility_threshold,privacy_threshold,transformation,outcome
0,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout
1,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
2,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
3,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
4,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
5,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
6,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
7,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
8,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
9,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
10,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
11,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
12,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
13,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
14,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
15,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
16,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
17,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
18,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
19,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
20,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
21,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
22,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
23,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
24,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
25,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout
26,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
27,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout
28,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout
29,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
30,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout
31,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
32,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
33,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
34,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
35,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
36,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout
37,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
38,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,timeout
39,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
40,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
41,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
42,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
43,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
44,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
45,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
46,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
47,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
48,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
49,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
50,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
51,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
52,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
53,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
54,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
55,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
56,calculate_avg_wait_time_with_release_dates,0.005,0.01,MOVE,empty
