id,machine_counts,job_counts,w_min,w_max,p_min,p_max,processing_time_range,weighted_processing_time_range
0,4,12,0,4,9,34,25,136
1,2,13,0,9,37,48,11,432
2,1,11,0,1,30,38,8,38
3,2,20,0,4,5,41,36,164
4,4,20,0,9,7,40,33,360
5,2,6,0,5,22,24,2,120
6,4,9,0,1,15,46,31,46
7,1,14,0,9,5,27,22,243
8,1,7,0,6,14,22,8,132
9,1,15,0,5,8,44,36,220
10,2,15,0,2,10,25,15,50
11,1,17,0,5,32,42,10,210
12,3,6,0,3,16,35,19,105
13,3,19,0,5,33,47,14,235
14,4,8,0,2,22,26,4,52
15,3,19,0,2,28,43,15,86
16,2,14,0,8,11,28,17,224
17,4,15,0,4,38,46,8,184
18,1,9,0,1,30,39,9,39
19,3,10,0,2,19,33,14,66
20,3,16,0,1,5,47,42,47
21,1,19,0,9,45,46,1,414
22,2,10,0,7,5,50,45,350
23,3,18,0,6,20,37,17,222
24,4,15,0,9,11,45,34,405
25,1,19,0,8,21,34,13,272
26,3,11,0,8,35,41,6,328
27,3,19,0,7,38,42,4,294
28,2,14,0,9,6,9,3,81
29,4,6,0,4,18,28,10,112
30,4,19,0,5,8,39,31,195
31,3,7,0,1,17,32,15,32
32,1,10,0,8,34,44,10,352
33,3,15,0,5,18,35,17,175
34,4,15,0,8,40,41,1,328
35,2,17,0,5,9,48,39,240
36,3,5,0,1,33,46,13,46
37,2,8,0,8,30,41,11,328
38,1,15,0,2,18,28,10,56
39,3,19,0,8,25,43,18,344
40,2,20,0,1,9,44,35,44
41,3,19,0,3,33,45,12,135
42,1,10,0,7,25,45,20,315
43,4,10,0,1,46,49,3,49
44,4,8,0,4,48,49,1,196
45,4,13,0,6,20,38,18,228
46,3,8,0,3,20,43,23,129
47,1,13,0,8,12,33,21,264
48,3,11,0,2,30,38,8,76
49,3,14,0,4,15,19,4,76
50,1,16,0,7,25,42,17,294
51,3,12,0,4,29,33,4,132
52,3,10,0,3,11,41,30,123
53,3,13,0,6,25,25,0,150
54,2,17,0,9,16,17,1,153
55,4,7,0,8,12,33,21,264
56,1,13,0,8,13,23,10,184
57,3,10,0,9,23,30,7,270
58,1,10,0,8,21,31,10,248
59,4,14,0,8,5,21,16,168
60,3,9,0,4,27,42,15,168
61,2,10,0,9,25,42,17,378
62,1,5,0,8,14,24,10,192
63,3,16,0,3,20,28,8,84
64,2,16,0,5,10,29,19,145
65,4,17,0,1,22,48,26,48
66,2,9,0,5,41,41,0,205
67,3,9,0,4,30,38,8,152
68,4,12,0,8,31,46,15,368
69,3,10,0,2,21,50,29,100
70,4,14,0,7,26,34,8,238
71,4,15,0,2,13,22,9,44
72,1,17,0,6,5,48,43,288
73,1,11,0,2,43,50,7,100
74,1,10,0,6,39,41,2,246
75,1,13,0,2,23,32,9,64
76,3,11,0,7,12,39,27,273
77,2,20,0,4,26,46,20,184
78,1,12,0,7,26,39,13,273
79,1,5,0,2,11,32,21,64
80,2,20,0,2,15,23,8,46
81,3,20,0,6,15,43,28,258
82,4,15,0,3,31,41,10,123
83,4,18,0,4,17,43,26,172
84,3,20,0,4,5,23,18,92
85,2,8,0,2,27,32,5,64
86,2,17,0,3,15,34,19,102
87,3,8,0,8,10,50,40,400
88,1,11,0,9,19,21,2,189
89,4,7,0,7,5,50,45,350
90,1,15,0,5,29,41,12,205
91,3,9,0,3,22,30,8,90
92,1,16,0,1,45,46,1,46
93,1,14,0,3,13,50,37,150
94,2,8,0,5,8,21,13,105
95,3,7,0,3,7,45,38,135
96,2,6,0,2,26,42,16,84
97,1,20,0,6,28,40,12,240
98,3,20,0,5,5,30,25,150
99,3,14,0,2,24,47,23,94
100,3,5,0,8,10,16,6,128
101,4,19,0,8,33,42,9,336
102,4,19,0,5,6,23,17,115
103,1,16,0,7,37,39,2,273
104,4,10,0,9,13,15,2,135
105,1,5,0,1,9,22,13,22
106,2,11,0,2,13,28,15,56
107,1,10,0,2,6,11,5,22
108,4,9,0,4,24,47,23,188
109,3,8,0,2,17,34,17,68
110,2,16,0,4,12,17,5,68
111,4,10,0,7,25,49,24,343
112,4,18,0,5,18,47,29,235
113,2,12,0,4,41,44,3,176
114,2,12,0,3,24,38,14,114
115,1,11,0,1,36,49,13,49
116,1,14,0,6,21,36,15,216
117,4,7,0,2,30,39,9,78
118,3,20,0,5,24,39,15,195
119,4,14,0,9,49,50,1,450
120,3,6,0,7,34,50,16,350
121,2,18,0,1,6,39,33,39
122,3,15,0,7,26,36,10,252
123,4,14,0,4,8,42,34,168
124,4,15,0,5,10,30,20,150
125,4,6,0,8,29,44,15,352
126,2,11,0,6,25,38,13,228
127,2,10,0,6,14,19,5,114
128,2,16,0,1,19,30,11,30
129,4,20,0,6,22,47,25,282
130,4,9,0,8,22,30,8,240
131,1,20,0,6,9,26,17,156
132,2,11,0,2,20,43,23,86
133,4,11,0,4,35,42,7,168
134,4,13,0,3,16,21,5,63
135,1,20,0,1,10,36,26,36
136,3,18,0,3,44,50,6,150
137,2,6,0,7,9,25,16,175
138,1,13,0,1,38,42,4,42
139,1,15,0,9,27,43,16,387
140,2,13,0,7,37,46,9,322
141,3,16,0,4,18,50,32,200
142,4,16,0,2,26,42,16,84
143,2,11,0,8,23,33,10,264
144,1,12,0,3,35,38,3,114
145,4,13,0,1,47,50,3,50
146,3,6,0,9,9,50,41,450
147,4,8,0,8,22,22,0,176
148,3,12,0,3,15,25,10,75
149,2,14,0,7,22,25,3,175
150,2,11,0,1,12,42,30,42
151,1,15,0,7,35,46,11,322
152,1,17,0,4,25,38,13,152
153,4,18,0,9,35,35,0,315
154,3,16,0,6,33,36,3,216
155,1,12,0,8,5,43,38,344
156,3,12,0,2,22,48,26,96
157,4,10,0,6,9,16,7,96
158,2,8,0,1,26,37,11,37
159,2,6,0,7,8,10,2,70
160,4,14,0,3,11,36,25,108
161,1,19,0,4,9,21,12,84
162,2,13,0,2,43,46,3,92
163,3,20,0,3,6,38,32,114
164,2,9,0,9,23,36,13,324
165,2,6,0,6,12,43,31,258
166,1,16,0,5,19,40,21,200
167,3,13,0,8,7,38,31,304
168,3,15,0,1,6,29,23,29
169,2,12,0,1,7,46,39,46
170,2,12,0,6,26,28,2,168
171,1,6,0,5,10,14,4,70
172,1,15,0,5,37,41,4,205
173,2,9,0,7,13,31,18,217
174,4,9,0,8,10,22,12,176
175,2,9,0,8,26,39,13,312
176,4,5,0,5,5,21,16,105
177,2,5,0,3,8,26,18,78
178,3,10,0,5,17,50,33,250
179,2,13,0,3,34,37,3,111
180,1,20,0,3,25,42,17,126
181,4,18,0,2,13,27,14,54
182,1,14,0,4,18,24,6,96
183,1,15,0,9,14,22,8,198
184,1,19,0,9,9,13,4,117
185,2,8,0,7,17,34,17,238
186,1,6,0,8,18,46,28,368
187,1,5,0,8,21,40,19,320
188,2,17,0,9,22,45,23,405
189,4,10,0,5,5,17,12,85
190,1,19,0,8,36,44,8,352
191,1,9,0,8,34,37,3,296
192,2,16,0,3,12,30,18,90
193,1,15,0,9,24,49,25,441
194,1,5,0,5,5,7,2,35
195,1,9,0,5,12,33,21,165
196,2,20,0,9,41,47,6,423
197,2,20,0,9,22,49,27,441
198,1,20,0,9,34,37,3,333
199,4,19,0,3,27,38,11,114
200,4,11,0,9,12,37,25,333
201,3,10,0,3,6,29,23,87
202,1,16,0,2,44,47,3,94
203,3,14,0,8,13,29,16,232
204,3,15,0,9,12,17,5,153
205,2,14,0,3,26,34,8,102
206,3,17,0,3,24,36,12,108
207,2,6,0,4,15,23,8,92
208,2,16,0,8,16,49,33,392
209,2,6,0,7,24,27,3,189
210,1,9,0,7,26,35,9,245
211,4,17,0,6,16,47,31,282
212,3,8,0,6,14,45,31,270
213,1,18,0,9,38,46,8,414
214,3,7,0,7,12,16,4,112
215,1,8,0,2,14,21,7,42
216,3,14,0,8,21,49,28,392
217,3,14,0,1,8,20,12,20
218,1,8,0,7,7,41,34,287
219,4,18,0,7,13,43,30,301
220,2,15,0,9,37,46,9,414
221,2,7,0,6,13,37,24,222
222,2,20,0,9,8,21,13,189
223,1,10,0,6,15,24,9,144
224,1,14,0,8,17,44,27,352
225,2,13,0,7,8,27,19,189
226,4,5,0,3,25,46,21,138
227,4,15,0,1,9,12,3,12
228,4,15,0,5,6,42,36,210
229,2,18,0,2,34,40,6,80
230,2,18,0,8,22,29,7,232
231,2,15,0,5,35,46,11,230
232,3,6,0,7,12,30,18,210
