id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_cmax,original_avgw,perturbed_cmax,perturbed_avgw,privacy_loss,time_found
921,calculate_cmax,0.005,0.01,MOVE,timeout,,284,121.1,,,,300
148,calculate_cmax,0.005,0.01,MOVE,empty,1,77,28.25,77,28,0,4.549441814422607
572,calculate_cmax,0.005,0.01,MOVE,empty,1,711,385.8,711,385.75,0,242.21060419082642
245,calculate_cmax,0.005,0.01,MOVE,empty,1,50,2.4,50,5,0,0.0752723217010498
150,calculate_cmax,0.005,0.01,MOVE,timeout,,139,66,,,,300
811,calculate_cmax,0.005,0.01,MOVE,empty,1,73,17.857142857142858,73,16,0,2.5134832859039307
428,calculate_cmax,0.005,0.01,MOVE,timeout,,233,112.5625,,,,300
662,calculate_cmax,0.005,0.01,MOVE,timeout,,498,236,,,,300
147,calculate_cmax,0.005,0.01,MOVE,empty,1,45,8.25,45,8.25,0,8.50262188911438
745,calculate_cmax,0.005,0.01,MOVE,timeout,,269,116.75,,,,300
30,calculate_cmax,0.005,0.01,MOVE,timeout,,90,39.36842105263158,,,,300
670,calculate_cmax,0.005,0.01,MOVE,empty,1,106,50.77777777777778,106,50.611111111111114,0,234.28451895713806
35,calculate_cmax,0.005,0.01,MOVE,empty,1,250,131.52941176470588,251,132.64705882352942,0,214.47821426391602
806,calculate_cmax,0.005,0.01,MOVE,timeout,,22,2.857142857142857,,,,300
692,calculate_cmax,0.005,0.01,MOVE,timeout,,302,164.6,,,,300
34,calculate_cmax,0.005,0.01,MOVE,timeout,,162,53,,,,300
594,calculate_cmax,0.005,0.01,MOVE,empty,1,128,49.61538461538461,128,50.07692307692308,0,0.09826874732971191
699,calculate_cmax,0.005,0.01,MOVE,empty,1,31,8.454545454545455,31,8.363636363636363,0,0.9300034046173096
922,calculate_cmax,0.005,0.01,MOVE,empty,1,315,164.42857142857142,315,164.35714285714286,0,205.67701888084412
239,calculate_cmax,0.005,0.01,MOVE,timeout,,49,7.833333333333333,,,,300
696,calculate_cmax,0.005,0.01,MOVE,timeout,,423,203.85,,,,300
376,calculate_cmax,0.005,0.01,MOVE,empty,1,752,354.3125,752,354.25,0,207.04991936683655
441,calculate_cmax,0.005,0.01,MOVE,empty,1,157,65.84210526315789,157,65.21052631578948,0,242.79512310028076
