id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
2021-04-05-10,calculate_avg_wait_time,0.005,0.01,MOVE,empty,1,64200,32.1,64200,32.1,0,0.00899958610534668
2021-04-05-10,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,64200,32.1,,,,300
2021-04-05-11,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,14700,1.7647058823529411,,,,300
2021-04-05-6,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,43380,21.666666666666668,,,,300
2021-04-05-7,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,52335,29.25,,,,300
2021-04-05-8,calculate_avg_wait_time,0.005,0.01,MOVE,empty,1,53725,55.3,53755,55.4,0,124.98686718940735
2021-04-05-8,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,53725,55.3,,,,300
2021-04-05-9,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,48075,25.363636363636363,,,,300
2021-04-06-10,calculate_avg_wait_time,0.005,0.01,MOVE,empty,1,58560,39.183673469387756,58560,39.183673469387756,0,0.021999597549438477
2021-04-06-10,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,58560,39.183673469387756,,,,300
2021-04-06-11,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,30630,45.51724137931034,,,,300
2021-04-06-6,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,54690,12.5,,,,300
2021-04-06-7,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,74205,47.785714285714285,,,,300
2021-04-06-8,calculate_avg_wait_time,0.005,0.01,MOVE,empty,1,83100,58.43283582089552,83100,58.43283582089552,0,0.018999814987182617
2021-04-06-8,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,83100,58.43283582089552,,,,300
2021-04-06-9,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,41820,21.6,,,,300
2021-04-07-10,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,62760,23.048780487804876,,,,300
2021-04-07-11,calculate_avg_wait_time,0.005,0.01,MOVE,timeout,,26325,23.076923076923077,,,,300
2021-04-07-6,calculate_avg_wait_time,0.005,0.01,MOVE,empty,1,43950,11.666666666666666,43950,11.666666666666666,0,0.00599980354309082
