id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
2021-04-05-10,calculate_twct,0.005,0.01,MOVE,empty,1,64200,32.1,64200,32.1,0,0.010983705520629883
2021-04-05-10,calculate_twct,0.005,0.01,MOVE,timeout,,64200,32.1,,,,300
2021-04-05-11,calculate_twct,0.005,0.01,MOVE,empty,1,14700,1.7647058823529411,14745,2.6470588235294117,0,119.63390135765076
2021-04-05-11,calculate_twct,0.005,0.01,MOVE,timeout,,14700,1.7647058823529411,,,,300
2021-04-05-6,calculate_twct,0.005,0.01,MOVE,empty,1,43380,21.666666666666668,43425,22,0,132.33188891410828
2021-04-05-6,calculate_twct,0.005,0.01,MOVE,timeout,,43380,21.666666666666668,,,,300
2021-04-05-7,calculate_twct,0.005,0.01,MOVE,timeout,,52335,29.25,,,,300
2021-04-05-8,calculate_twct,0.005,0.01,MOVE,empty,1,53725,55.3,53755,55.4,0,125.14865303039551
2021-04-05-8,calculate_twct,0.005,0.01,MOVE,timeout,,53725,55.3,,,,300
2021-04-05-9,calculate_twct,0.005,0.01,MOVE,timeout,,48075,25.363636363636363,,,,300
2021-04-06-10,calculate_twct,0.005,0.01,MOVE,empty,1,58560,39.183673469387756,58560,39.183673469387756,0,0.02704906463623047
2021-04-06-10,calculate_twct,0.005,0.01,MOVE,timeout,,58560,39.183673469387756,,,,300
2021-04-06-11,calculate_twct,0.005,0.01,MOVE,empty,1,30630,45.51724137931034,30660,46.03448275862069,0,94.9236171245575
2021-04-06-11,calculate_twct,0.005,0.01,MOVE,timeout,,30630,45.51724137931034,,,,300
2021-04-06-6,calculate_twct,0.005,0.01,MOVE,timeout,,54690,12.5,,,,300
2021-04-06-7,calculate_twct,0.005,0.01,MOVE,timeout,,74205,47.785714285714285,,,,300
2021-04-06-8,calculate_twct,0.005,0.01,MOVE,empty,1,83100,58.43283582089552,83100,58.43283582089552,0,0.01999974250793457
2021-04-06-8,calculate_twct,0.005,0.01,MOVE,timeout,,83100,58.43283582089552,,,,300
2021-04-06-9,calculate_twct,0.005,0.01,MOVE,empty,1,41820,21.6,41835,21.9,0,133.5901415348053
2021-04-06-9,calculate_twct,0.005,0.01,MOVE,timeout,,41820,21.6,,,,300
2021-04-07-10,calculate_twct,0.005,0.01,MOVE,timeout,,62760,23.048780487804876,,,,300
